open_library_id,title,authors,first_publish_year,edition_count,primary_language,language_count,has_full_text
OL1000320W,The Fireball XL5 files,John Peel,1987.0,1,eng,1,False
OL1000321W,Firestorm,John Peel,2000.0,1,eng,1,True
OL1000323W,The Gerry Anderson's Stingray files,John Peel,1987.0,1,eng,1,False
OL1000326W,Star Trek The Next Generation - Here There Be Dragons,John Peel,1993.0,3,eng,1,True
OL1000328W,International rescue,John Peel,1986.0,1,eng,1,False
OL1000329W,Island in the sky,John Peel,1987.0,1,eng,1,False
OL1000332W,The lost,John Peel,1997.0,3,eng,1,True
OL1000333W,Lost in Vegas!,John Peel,1998.0,1,eng,1,True
OL10003384M,Annual Report of Her Majesty's Chief Inspector of Constabulary for Scotland 2004/2005,Unknown,2005.0,1,eng,1,False
OL10003391M,Fisheries Research Services Report and Accounts 2005-2006,Unknown,2006.0,1,eng,1,False
OL10003392M,Scottish Fisheries Protection Agency Annual Report and Accounts 2005-2006,Unknown,2006.0,1,eng,1,False
OL10003414W,Spectre automorphe des variétés hyperboliques et applications topologiques,Nicolas Bergeron; Laurent Clozel,2005.0,2,fre,2,False
OL1000341W,Star Trek Deep Space Nine - Prisoners of Peace,John Peel,1994.0,3,eng,1,True
OL1000342W,Return to tomorrow,John Peel,1986.0,1,eng,1,False
OL1000350W,That which survives,John Peel,1987.0,1,eng,1,False
OL1000351W,The Tholian web,John Peel,1987.0,1,eng,1,False
OL1000353W,"Uptime, downtime",John Peel,1992.0,1,eng,1,True
OL1000354W,The vanished,John Peel,1998.0,2,eng,1,True
OL1000355W,Doctor Who - War of the Daleks,John Peel,1997.0,2,eng,1,False
OL1000356W,War of the robots,John Peel,1987.0,1,eng,1,False
OL1000363W,Where no man has gone before,John Peel,1987.0,1,eng,1,False
OL1000364W,Whom gods destroy,John Peel,1987.0,1,eng,1,False
OL1000366W,the Daleks' masterplan,John Peel,1989.0,2,eng,1,True
OL1000368W,The time shifter,John Peel,1997.0,3,eng,1,True
OL1000370W,Files magazine spotlight on Doctor Who,John Peel,1987.0,3,eng,1,True
OL1000371W,Doctor Who,John Peel,1987.0,4,eng,1,False
OL1000381W,"Prom time. (Sabrina, The Teenage Witch No. 21)",David Cody Weiss; Bobbi J. G. Weiss; Bobbi Weiss; David Cody,1999.0,6,eng,1,True
OL1000384W,Salem on Trial (Sabrina the Teenage Witch #8),"David Cody Weiss; Bobbi J.G, Weiss",1998.0,3,eng,1,True
OL10003908W,Conquête de l'éternel,Dominique André,1947.0,1,fre,1,False
OL1000393W,Biofire,Ray Garton,1999.0,1,eng,1,False
OL10004112W,"Le jeu des coïncidences dans ""la Vie mode d'emploi"" de Georges Perec",Chassay J-F.,1997.0,1,fre,1,False
OL10004214W,"Le Droit, l'informatique et l'arbitraire",Bousez,1995.0,1,fre,1,False
OL10004232W,Saint-Denis et la royauté,Francoise Autrand,2000.0,1,fre,1,False
OL10004561W,Les Pneumatiques d'Héron d'Alexandrie,Argoud Guillaum; Hero of Alexandria,1997.0,2,grc,2,False
OL10004562W,Science et vie intellectuelle à Alexandrie,Argoud Guillaum,1997.0,1,eng,2,False
OL10004815W,Vox populi vox dei,Poizat,2001.0,1,fre,1,False
OL1000512W,Millennium,"Gannett, Lewis.",1997.0,1,eng,1,False
OL10005151W,Le contrôle dans les systèmes à base de connaissances,Bruno Bachimont,1994.0,2,fre,1,False
OL10005284M,House of Commons Standing Committee Debates - Bound Volumes (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005288M,House of Commons Standing Committee Deba Tes - Bound Volumes 1996-97 (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005292M,House of Commons Standing Committee Deba Tes - Bound Volumes 1996-97 (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005296M,House of Commons Standing Committee Deba Tes - Bound Volumes 1996-97 (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005300M,House of Commons Standing Committee Deba Tes - Bound Volumes 1996-97 (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005304M,House of Commons Standing Committee Deba Tes - Bound Volumes 1996-97 (Parliamentary Debates: House of Commons Official Report - Session 1996-97),Unknown,2000.0,1,eng,1,False
OL10005548W,"Fànic, fàl·lic, fàtic",Jean-Marie Pradier,1998.0,1,cat,1,False
OL10005601W,Mannerbund und Wissenschaft,Alfred Baeumler,1940.0,1,ger,1,False
OL10005677W,Christianisme et théorie de l'information,P. Gagnon,1998.0,1,fre,1,False
OL10005709W,Vrai secret de la droite,C. Reichmann,2003.0,1,fre,1,False
OL10005739W,Les Sciences annexes en histoire du Moyen âge,Merdrignac / Chedeville,1998.0,1,fre,1,False
OL10005848W,L'etat l'armée la science,P. Bret,2002.0,1,fre,1,False
OL10005872W,Méthode et statistique expérimentales en sciences humaines,Patrick Rateau,2001.0,1,fre,1,False
OL10006057W,Science et technologie,Y. Okubo,2000.0,1,Unknown,0,False
OL10006229W,The Study of Africa Volume 1,Tiyambe Zeleza,2006.0,1,eng,1,True
OL10006230W,The Study of Africa Volume 2,Tiyambe Zeleza,2006.0,2,eng,1,True
OL10006273W,Dictionnaire général des sciences humaines par Georges Thinès et Agnès Lempereur,Georges Thinès,1975.0,1,fre,1,False
OL10006328W,Défense des sciences humaines,Richelle M,1997.0,1,fre,1,False
OL10006394W,Europe de l'extrême droite,Duranton Cabrol,1997.0,1,fre,1,False
OL1000639W,Spooksville - The Creature in the Teacher,Christopher Pike,1996.0,3,spa,2,True
OL10006417W,Le mythe Machiavel,Michel Berges,2000.0,1,fre,1,False
OL10006437W,Politique et philosophie chez Aristote,Bodéüs R.,1991.0,1,fre,1,False
OL10006646W,Dieu,Edouard Boné,1999.0,1,fre,1,False
OL10006647W,"Dieu, hypothèse inutile?",Edouard Boné,1999.0,1,fre,1,False
OL10006648W,Itinéraires bioéthiques,Edouard Boné,1990.0,1,fre,1,False
OL10006994W,Les femmes et la science,Gérard Chazal,2006.0,1,fre,1,False
OL10007077W,Cerveau dans tous ses etats,Sicard Monique Pres,1998.0,1,fre,1,True
OL10007250W,De l'individu au citoyen,Soumaya Mestiri,2007.0,1,fre,1,False
OL10007516W,Armées et sociétés de la Grèce classique,Prost Francis,1999.0,1,Unknown,0,False
OL10007577W,Sciences et valeurs,Gérard Huber,1999.0,1,fre,1,False
OL10007994W,L' ordre et la volupté,Roland Fivaz,1989.0,3,fre,1,True
OL10008012W,Karl Popper ou La connaissance sans certitude,André Verdan,1991.0,1,fre,1,False
OL1000802W,Star Group,Christopher Pike,1997.0,4,eng,1,True
OL1000803W,The Starlight Crystal,Christopher Pike,1996.0,3,eng,1,True
OL1000804W,The Tachyon Web,Christopher Pike,1986.0,5,eng,1,True
OL100080W,An Armory of Swords,Fred Saberhagen,1995.0,3,eng,1,True
OL10008104W,Etat paternaliste ou Etat minimal,Karl Popper,1997.0,2,fre,1,False
OL10008121W,Francois Simiand (Reimpression),M. Cedronio,1987.0,1,eng,2,False
OL1000813W,The visitor,Christopher Pike,1995.0,4,eng,1,True
OL100081W,An old friend of the family,Fred Saberhagen,1979.0,2,eng,1,False
OL100083W,The arrival,Fred Saberhagen,1999.0,2,eng,1,False
OL10008448W,The cosmic microwave background,Ruth Durrer,2008.0,8,eng,1,False
OL100084W,Brother assassin,Fred Saberhagen,1969.0,2,eng,1,True
OL10008532W,L'urgence de la tendresse,Boily,2001.0,1,fre,1,True
OL100089W,The First Book of Lost Swords,Fred Saberhagen,1988.0,2,eng,1,False
OL100092W,Gene Roddenberry's Earth: Final Conflict--The Arrival (Earth: Final Conflict),Fred Saberhagen,1999.0,2,eng,1,True
OL100093W,Golden People,Fred Saberhagen,1984.0,2,eng,1,True
OL10009411W,Solitaire a L'Infini,Josee Plourde,1998.0,1,fre,1,True
OL100095W,The Mask of the Sun,Fred Saberhagen,1981.0,2,eng,1,False
OL10009728W,La Santé de votre enfant,Docteur Michel Weber; Max Weber,2001.0,2,fre,1,True
OL100097W,Octagon,Fred Saberhagen,1981.0,2,eng,1,True
OL10010176M,The Docking of Pigs (Use of Anaesthetics) Order 1974,Unknown,1974.0,1,Unknown,0,False
OL100102W,Thorn,Fred Saberhagen,1980.0,2,eng,1,False
